sno,name,email,score,contest_date
1,krishnasurya2011,,152.5,12/12/2025
2,msulthan139,,150,12/12/2025
3,safeyasherien,,146.5,12/12/2025
4,srimathia722,,139.5,12/12/2025
5,faraazmohammed32,,130,12/12/2025
6,karimulla1010sk,,112.5,12/12/2025
7,hemavathianbara1,,112.5,12/12/2025
8,settipallivishn1,,112.5,12/12/2025
9,ssanthiyas314,,104,12/12/2025
10,karthi99412,,102.5,12/12/2025
11,ppk763957,,102.5,12/12/2025
12,srimathiparthib2,,93.5,12/12/2025
13,sriramnataraj16,,92.5,12/12/2025
14,sasikumarnelava1,,92.5,12/12/2025
15,pavithra11020,,92.5,12/12/2025
16,shabreenshaik14,,91,12/12/2025
17,sajeesajeeshmasv,,86.5,12/12/2025
18,kmohammedibrahi2,,82.5,12/12/2025
19,narenchowdary48,,82.5,12/12/2025
20,nagamunthalaven1,,82.5,12/12/2025
21,priyadharshi1460,,81,12/12/2025
22,nanthinirajeswa1,,81,12/12/2025
23,nausheennihar851,,73.5,12/12/2025
24,naveenreddy47168,,72.5,12/12/2025
25,ra9724091,,72.5,12/12/2025
26,mohamedyusuf1221,,72.5,12/12/2025
27,navinesh143n,,72.5,12/12/2025
28,syedhazeera91,,72.5,12/12/2025
29,uvaisfarook1999,,70,12/12/2025
30,rathinasabapath3,,70,12/12/2025
31,sabdharali82,,69.5,12/12/2025
32,yokeshwaran03201,,67,12/12/2025
33,munik0991,,66.5,12/12/2025
34,naufalsyed2005,,60,12/12/2025
35,tajunnaseera006,,60,12/12/2025
36,prathapadany,,57,12/12/2025
37,makshayagokul,,50,12/12/2025
38,hazeera032,,40,12/12/2025
39,lakshmichittive1,,40,12/12/2025
40,pattabhichenchu,,34,12/12/2025
41,vellampatipooja,,32.5,12/12/2025
42,mohammedshaheed2,,20,12/12/2025
43,pattabhichenchu1,,17,12/12/2025
44,oblivionarchite1,,16,12/12/2025
45,obbuchandana,,14,12/12/2025
46,obbuchandana6,,12.5,12/12/2025
47,ochandhana,,10,12/12/2025
48,pavithra110201,,0,12/12/2025
